source,target,type,id,label,timeset,weight,colab_track_popularity,colab_track_name,colab_track
Bad Bunny,Bomba Estéreo,Directed,1397,,,1,97,Ojitos Lindos,"[[""Ojitos Lindos"", 97]]"
Bad Bunny,Rauw Alejandro,Directed,1398,,,1,94,Party,"[[""Party"", 94]]"
Bad Bunny,Jhay Cortez,Directed,1399,,,3,94,Tarot,"[[""Tarot"", 94], [""D\u00c1KITI"", 83], [""D\u00c1KITI"", 80]]"
Bad Bunny,Tony Dize,Directed,1400,,,1,91,La Corriente,"[[""La Corriente"", 91]]"
Bad Bunny,Tainy,Directed,1402,,,2,84,Callaita,"[[""Callaita"", 84], [""Callaita"", 81]]"
Bad Bunny,Daddy Yankee,Directed,1403,,,2,84,La Santa,"[[""La Santa"", 84], [""Tu No Metes Cabra - Remix"", 68]]"
Bad Bunny,Jowell & Randy,Directed,1404,,,1,80,Safaera,"[[""Safaera"", 80]]"
Bad Bunny,Ñengo Flow,Directed,1405,,,3,82,Diles,"[[""Safaera"", 80], [""Diles"", 82], [""Que Malo"", 75]]"
Bad Bunny,ROSALÍA,Directed,1406,,,1,82,LA NOCHE DE ANOCHE,"[[""LA NOCHE DE ANOCHE"", 82]]"
Bad Bunny,Mora,Directed,1407,,,1,81,Una Vez,"[[""Una Vez"", 81]]"
Bad Bunny,El Alfa,Directed,1408,,,1,75,La Romana,"[[""La Romana"", 75]]"
Bad Bunny,Ozuna,Directed,1409,,,2,82,Diles,"[[""Diles"", 82], [""Soy Peor - Remix"", 67]]"
Bad Bunny,Farruko,Directed,1410,,,2,82,Diles,"[[""Diles"", 82], [""Blockia"", 57]]"
Bad Bunny,Arcangel,Directed,1411,,,6,82,Diles,"[[""Diles"", 82], [""Me Mata"", 73], [""P FKN R"", 67], [""Soy Peor - Remix"", 67], [""Panamera - Remix"", 52], [""Panamera - Remix"", 39]]"
Bad Bunny,DJ Luian,Directed,1412,,,4,82,Diles,"[[""Diles"", 82], [""Sensualidad"", 74], [""Me Mata"", 73], [""Blockia"", 57]]"
Bad Bunny,Yaviah,Directed,1413,,,1,78,Bichiyal,"[[""Bichiyal"", 78]]"
Bad Bunny,Sech,Directed,1414,,,2,73,Ignorantes,"[[""Ignorantes"", 73], [""Ignorantes"", 72]]"
Bad Bunny,Anuel AA,Directed,1415,,,2,72,Está Cabrón Ser Yo,"[[""Est\u00e1 Cabr\u00f3n Ser Yo"", 72], [""Tu No Metes Cabra - Remix"", 68]]"
Bad Bunny,Prince Royce,Directed,1416,,,1,74,Sensualidad,"[[""Sensualidad"", 74]]"
Bad Bunny,J Balvin,Directed,1417,,,3,74,Sensualidad,"[[""Sensualidad"", 74], [""Soy Peor - Remix"", 67], [""I Like It"", 9]]"
Bad Bunny,Bryant Myers,Directed,1418,,,5,74,Pa Ti,"[[""Pa Ti"", 74], [""Me Mata"", 73], [""Caile"", 66], [""Me Llueven 3.0"", 54], [""Me Llueven (Extended Version)"", 44]]"
