id,label,interval,followers,popularity,id,componentnumber,strongcompnum,indegree,outdegree,unique_collabs,weighted_indegree,weighted_outdegree,total_collabs,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks
Bad Bunny,Bad Bunny,,52915846,100,4q3ewBCX7sLwd24euuV69X,0,66,43,76,119,80,165,245,7,0.354419,0.427016,16172.97705,0,0.003245
Jhay Cortez,Jhay Cortez,,4404989,84,0EFisYRi20PTADoJrifHrz,0,66,33,49,82,68,120,188,6,0.342139,0.398586,2403.215884,0,0.002436
Tony Dize,Tony Dize,,2991179,75,3LKXWvXFWrkwUzJWxzwVpW,0,66,13,12,25,19,49,68,7,0.29981,0.336386,1241.701113,3,0.001405
Rauw Alejandro,Rauw Alejandro,,12993677,89,1mcTU81TzQhprhouKaTkpq,0,66,76,72,148,152,134,286,6,0.355376,0.42538,13977.908156,0,0.005561
Bomba Estéreo,Bomba Estéreo,,973375,79,5n9bMYfz9qss2VOW89EVs2,0,66,2,4,6,2,5,7,7,0.275357,0.296145,2390.747683,6,0.000306
Buscabulla,Buscabulla,,72671,70,0MoaBi6dSquXp6rrlqlF8R,0,56,2,0,2,2,0,2,0,0,0,0,0,0.000278
Tainy,Tainy,,976826,79,0GM7qgcRCORpGnfcN2tCiB,0,66,22,26,48,45,48,93,6,0.319838,0.368882,3386.983844,0,0.002194
ROSALÍA,ROSALÍA,,5637610,82,7ltDVBr6mKbRvohxheJ9h1,0,66,6,3,9,7,4,11,7,0.263421,0.288954,16.024338,0,0.000588
Zion & Lennox,Zion & Lennox,,6569769,78,21451j1KhjAiaYKflxBjr1,0,66,78,59,137,140,87,227,6,0.341253,0.405527,9626.301604,3,0.005926
Yandel,Yandel,,6079631,74,0eHQ9o50hj6ZDNBt6Ys1sD,0,66,58,68,126,108,122,230,6,0.35682,0.423439,11754.479078,0,0.004503
Don Omar,Don Omar,,7656495,79,33ScadVnbm2X8kkUqOkC6Z,0,66,32,31,63,72,73,145,7,0.324569,0.375341,8170.418759,3,0.002105
Nicky Jam,Nicky Jam,,17413553,81,1SupJlEpv7RS2tPNRaHViT,0,66,80,65,145,165,136,301,6,0.354419,0.421266,15706.712335,0,0.005859
Daddy Yankee,Daddy Yankee,,28854310,87,4VMYDCV2IEDYJArk749S6m,0,66,55,44,99,139,112,251,6,0.344677,0.399895,8081.297178,3,0.00378
Yaviah,Yaviah,,129467,59,0Y30TbA4p8SAfCzy2AFBa8,0,55,6,0,6,7,0,7,0,0,0,0,3,0.000613
Ñengo Flow,Ñengo Flow,,3554643,79,12vb80Km0Ew53ABfJOepVz,0,66,68,39,107,161,58,219,7,0.324836,0.379653,3917.988384,0,0.005007
Sech,Sech,,11017170,82,77ziqFxp5gaInVrF2lj4ht,0,66,33,46,79,95,137,232,7,0.332212,0.392269,1767.251457,0,0.002289
Mora,Mora,,610013,81,0Q8NcsJwoCbZOHHW63su5S,0,66,19,28,47,24,39,63,6,0.333052,0.379852,6695.606857,0,0.001624
Jowell & Randy,Jowell & Randy,,3605212,69,4IMAo2UQchVFyPH24PAjUs,0,66,41,64,105,66,102,168,6,0.341843,0.409831,7836.589699,3,0.003195
Anuel AA,Anuel AA,,23045207,85,2R21vXR83lH98kGeO99Y66,0,66,46,51,97,105,114,219,7,0.334179,0.395307,4275.591263,0,0.003585
Myke Towers,Myke Towers,,9204528,84,7iK8PXO48WeuP03g8YR51W,0,66,73,49,122,178,84,262,6,0.341843,0.400359,6683.731101,0,0.005604
Kendo Kaponi,Kendo Kaponi,,849085,63,1WMwuNKzEFtU6pPkdtryYS,0,66,13,17,30,20,35,55,7,0.294886,0.336679,179.523872,0,0.001019
Arcangel,Arcangel,,8585676,80,4SsVbpTthjScTS7U2hmr1X,0,66,86,83,169,267,227,494,6,0.352521,0.429367,10875.024369,0,0.006348
Duki,Duki,,6514094,84,1bAftSH8umNcGZ0uyV7LMg,0,66,47,41,88,87,62,149,6,0.326851,0.381709,29520.020794,10,0.004772
Pablo Chill-E,Pablo Chill-E,,826922,67,2XcZshqzPKm3iZcmt73R8D,0,66,26,9,35,57,30,87,8,0.235399,0.260008,4475.910777,10,0.002826
J Balvin,J Balvin,,34781550,88,1vyhD5VmyZ7KMfW5gqLgo5,0,66,41,37,78,115,101,216,7,0.325371,0.379442,3799.106151,0,0.003067
Marciano Cantero,Marciano Cantero,,3403,61,5QzDzXfXC5lepOBeQXBiVO,0,57,3,1,4,3,1,4,1,1,1,784,0,0.001712
El Alfa,El Alfa,,2334408,77,2oQX8QiMXOyuqbcZEFsZfm,0,66,42,31,73,95,65,160,6,0.31842,0.370738,5305.1267,0,0.004571
Julieta Venegas,Julieta Venegas,,1719535,75,2QWIScpFDNxmS6ZEMIUvgm,0,66,20,7,27,29,9,38,7,0.277485,0.30695,9865.502487,6,0.002596
Aventura,Aventura,,6218679,76,1qto4hHid1P71emI6Fd8xi,0,66,3,6,9,5,11,16,7,0.289271,0.318653,55.783843,3,0.000323
Nio Garcia,Nio Garcia,,3469420,74,5hdhHgpxyniooUiQVaPxQ0,0,66,52,38,90,100,70,170,7,0.322581,0.376869,2999.288781,0,0.00377
Luar La L,Luar La L,,179410,64,4axKuDPr6WKcDCyh8vueTY,0,66,28,25,53,45,35,80,7,0.301757,0.348556,1511.61863,0,0.002825
Ivy Queen,Ivy Queen,,1845952,63,6p2442ymrT9lZEuCZJdYcH,0,66,14,10,24,31,23,54,7,0.293244,0.330964,2201.822634,3,0.001067
Ricky Martin,Ricky Martin,,6717795,73,7slfeZO9LsJbWgpkIoXBUJ,0,66,12,10,22,17,15,32,7,0.304784,0.336742,2592.799227,6,0.001477
Omy de Oro,Omy de Oro,,198463,60,65jIUih0ZeTUJhSTRuYxpi,0,66,24,20,44,35,28,63,7,0.295217,0.339759,212.116794,0,0.002089
Eladio Carrion,Eladio Carrion,,1742961,78,5XJDexmWFLWOkjOEjOVX3e,0,66,58,41,99,85,82,167,6,0.337031,0.393502,7111.652441,0,0.004908
Lunay,Lunay,,7039421,73,47MpMsUfWtgyIIBEFOr4FE,0,66,34,34,68,50,67,117,6,0.326987,0.377215,2562.268462,0,0.002469
Marc Anthony,Marc Anthony,,7647532,76,4wLXwxDeWQ8mtUIRPxGiD6,0,66,15,6,21,30,6,36,7,0.289271,0.318041,2230.185506,6,0.001631
