,spotify_id,name_id,name,followers,betweeness_centrality,group,unique_collabs,total_collabs,image
0,4q3ewBCX7sLwd24euuV69X,Bad Bunny,Bad Bunny,52296565,12840.180248,0,106,310,https://i.scdn.co/image/ab6761610000e5eb8ee9a6f54dcbd4bc95126b14
1,5n9bMYfz9qss2VOW89EVs2,Bomba Estéreo,Bomba Estéreo,969417,1666.150781,5,5,7,https://i.scdn.co/image/ab6761610000e5ebcc4d7c642f167846d8aa743b
2,1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,Rauw Alejandro,12796260,9155.825487,0,117,308,https://i.scdn.co/image/ab6761610000e5eb75a6949c1571055dd609f890
3,0EFisYRi20PTADoJrifHrz,Jhay Cortez,Jhay Cortez,4349987,2552.074793,0,68,307,https://i.scdn.co/image/ab6761610000e5ebbbeb7f1f3a9b011b73156dc0
4,3LKXWvXFWrkwUzJWxzwVpW,Tony Dize,Tony Dize,2972734,472.347037,1,32,148,https://i.scdn.co/image/0fb75163d5836f4479ddc91775694ba79979db4e
5,0GM7qgcRCORpGnfcN2tCiB,Tainy,Tainy,966906,2799.712009,0,32,382,https://i.scdn.co/image/ab6761610000e5eb72453ad016b059b06fd52569
6,4VMYDCV2IEDYJArk749S6m,Daddy Yankee,Daddy Yankee,28662176,6746.504992,1,108,527,https://i.scdn.co/image/ab6761610000e5eb2204cb5a314573e202f20f8d
7,4IMAo2UQchVFyPH24PAjUs,Jowell & Randy,Jowell & Randy,3586976,4246.950374,0,98,369,https://i.scdn.co/image/ab6761610000e5eb1919bd779536bbcb3a186150
8,12vb80Km0Ew53ABfJOepVz,Ñengo Flow,Ñengo Flow,3529653,7538.644257,0,140,306,https://i.scdn.co/image/ab6761610000e5eb88b99535ed74688cf963d8c8
9,7ltDVBr6mKbRvohxheJ9h1,ROSALÍA,ROSALÍA,5555833,57.186422,0,8,9,https://i.scdn.co/image/ab6761610000e5ebd7bb678bef6d2f26110cae49
10,0Q8NcsJwoCbZOHHW63su5S,Mora,Mora,583572,10906.322202,3,37,170,https://i.scdn.co/image/ab6761610000e5eb123f579fb45368b2aaa78192
11,2oQX8QiMXOyuqbcZEFsZfm,El Alfa,El Alfa,2315224,4393.11334,0,76,167,https://i.scdn.co/image/ab6761610000e5eba97f2c907b36d3c1d8e58397
12,1i8SpTcr7yvPOmcqrbnVXY,Ozuna,Ozuna,32829025,5595.080279,0,112,535,https://i.scdn.co/image/ab6761610000e5ebb34caaa3f41eaf9ff5fe849d
13,329e4yvIujISKGKz1BZZbO,Farruko,Farruko,13580462,19891.595093,0,201,457,https://i.scdn.co/image/ab6761610000e5eb53029f0f3a0a4b216b9f5df7
14,4SsVbpTthjScTS7U2hmr1X,Arcangel,Arcangel,8527320,8480.22361,0,168,623,https://i.scdn.co/image/ab6761610000e5eb094836334a3e352ba839fefc
15,64aJYyrXljOodnUG6jvhRD,DJ Luian,DJ Luian,1544716,202.139587,1,44,100,https://i.scdn.co/image/ab6761610000e5eb12720a4a06a7a2e78c5f42dc
16,0Y30TbA4p8SAfCzy2AFBa8,Yaviah,Yaviah,128572,2.359921,1,5,5,https://i.scdn.co/image/ab6761610000e5ebd6e7b9afa42ae264c84f22d4
17,77ziqFxp5gaInVrF2lj4ht,Sech,Sech,10971770,934.331511,0,59,148,https://i.scdn.co/image/ab6761610000e5eb2f364933daca7516c6193ffe
18,2R21vXR83lH98kGeO99Y66,Anuel AA,Anuel AA,22878068,4402.814897,0,99,425,https://i.scdn.co/image/ab6761610000e5ebc5c589b667f600c299552ee5
19,3MHaV05u0io8fQbZ2XPtlC,Prince Royce,Prince Royce,7097558,2922.717694,1,40,59,https://i.scdn.co/image/ab6761610000e5eb207150975a7266c3560ca6f9
20,1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,J Balvin,34651986,4427.077189,0,84,581,https://i.scdn.co/image/ab6761610000e5eb5d0fc400392250a750a9403e
