id,label,interval,followers,popularity,id,componentnumber,strongcompnum,indegree,outdegree,unique_collabs,weighted_indegree,weighted_outdegree,total_collabs,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks
Bad Bunny,Bad Bunny,,52296565,100,4q3ewBCX7sLwd24euuV69X,0,22,59,47,106,228,82,310,6,0.33416,0.394832,12840.180248,0,0.008945
Bomba Estéreo,Bomba Estéreo,,969417,79,5n9bMYfz9qss2VOW89EVs2,0,22,2,3,5,2,5,7,8,0.265354,0.284921,1666.150781,5,0.000436
Rauw Alejandro,Rauw Alejandro,,12796260,89,1mcTU81TzQhprhouKaTkpq,0,22,82,35,117,234,74,308,7,0.3208,0.373693,9155.825487,0,0.008404
Jhay Cortez,Jhay Cortez,,4349987,84,0EFisYRi20PTADoJrifHrz,0,22,32,36,68,73,234,307,7,0.319886,0.373322,2552.074793,0,0.004053
Tony Dize,Tony Dize,,2972734,75,3LKXWvXFWrkwUzJWxzwVpW,0,22,18,14,32,26,122,148,7,0.294323,0.333351,472.347037,1,0.002463
Tainy,Tainy,,966906,79,0GM7qgcRCORpGnfcN2tCiB,0,22,14,18,32,62,320,382,7,0.307903,0.350908,2799.712009,0,0.00188
Daddy Yankee,Daddy Yankee,,28662176,87,4VMYDCV2IEDYJArk749S6m,0,22,72,36,108,412,115,527,7,0.317027,0.370987,6746.504992,1,0.007775
Jowell & Randy,Jowell & Randy,,3586976,69,4IMAo2UQchVFyPH24PAjUs,0,22,55,43,98,282,87,369,7,0.324038,0.380493,4246.950374,0,0.005239
Ñengo Flow,Ñengo Flow,,3529653,79,12vb80Km0Ew53ABfJOepVz,0,22,98,42,140,229,77,306,7,0.308467,0.368988,7538.644257,0,0.008498
ROSALÍA,ROSALÍA,,5555833,79,7ltDVBr6mKbRvohxheJ9h1,0,22,5,3,8,6,3,9,8,0.257154,0.283335,57.186422,0,0.001162
Mora,Mora,,583572,80,0Q8NcsJwoCbZOHHW63su5S,0,22,16,21,37,20,150,170,6,0.33499,0.376632,10906.322202,3,0.001657
El Alfa,El Alfa,,2315224,77,2oQX8QiMXOyuqbcZEFsZfm,0,22,41,35,76,61,106,167,7,0.314659,0.369825,4393.11334,0,0.005475
Ozuna,Ozuna,,32829025,85,1i8SpTcr7yvPOmcqrbnVXY,0,22,64,48,112,442,93,535,7,0.329584,0.389409,5595.080279,0,0.007179
Farruko,Farruko,,13580462,84,329e4yvIujISKGKz1BZZbO,0,22,133,68,201,345,112,457,7,0.3283,0.401081,19891.595093,0,0.012931
Arcangel,Arcangel,,8527320,80,4SsVbpTthjScTS7U2hmr1X,0,22,106,62,168,467,156,623,7,0.332347,0.402614,8480.22361,0,0.010678
DJ Luian,DJ Luian,,1544716,73,64aJYyrXljOodnUG6jvhRD,0,22,18,26,44,52,48,100,7,0.304839,0.353702,202.139587,1,0.002232
Yaviah,Yaviah,,128572,59,0Y30TbA4p8SAfCzy2AFBa8,0,22,4,1,5,4,1,5,8,0.240886,0.26138,2.359921,1,0.000759
Sech,Sech,,10971770,83,77ziqFxp5gaInVrF2lj4ht,0,22,32,27,59,89,59,148,7,0.309743,0.359068,934.331511,0,0.004405
Anuel AA,Anuel AA,,22878068,85,2R21vXR83lH98kGeO99Y66,0,22,54,45,99,235,190,425,7,0.33153,0.390766,4402.814897,0,0.006576
Prince Royce,Prince Royce,,7097558,75,3MHaV05u0io8fQbZ2XPtlC,0,22,23,17,40,36,23,59,7,0.296134,0.337258,2922.717694,1,0.002892
J Balvin,J Balvin,,34651986,87,1vyhD5VmyZ7KMfW5gqLgo5,0,22,57,27,84,421,160,581,7,0.315839,0.366437,4427.077189,0,0.00628
Bryant Myers,Bryant Myers,,7149772,75,6w9ToX5slZ4uIdmD17hJ3c,0,22,58,30,88,121,64,185,7,0.30374,0.357168,1666.308403,0,0.005661
Almighty,Almighty,,415134,70,6P6GTRTigHBp8ZesNtpCKH,0,22,43,29,72,77,38,115,7,0.297835,0.349513,19065.79128,0,0.004225
Noriel,Noriel,,6061607,72,3RtNN1VnooWEn3KQk03DUL,0,22,58,24,82,200,41,241,7,0.299157,0.345107,2956.033404,0,0.004937
Baby Rasta,Baby Rasta,,1673148,63,0GgyFUpOyzWDRDqx8FCTDN,0,22,18,34,52,33,209,242,7,0.311173,0.362724,3681.301361,0,0.001792
Brytiago,Brytiago,,5239032,72,00XhexlJEXQstHimpZN910,0,22,46,44,90,108,224,332,7,0.32218,0.381556,3300.643361,0,0.004722
Nicky Jam,Nicky Jam,,17337859,81,1SupJlEpv7RS2tPNRaHViT,0,22,100,35,135,222,88,310,7,0.314659,0.368772,6564.647951,1,0.009353
Don Omar,Don Omar,,7596396,79,33ScadVnbm2X8kkUqOkC6Z,0,22,43,29,72,275,59,334,7,0.305254,0.353875,2667.687861,1,0.004196
Duki,Duki,,6416620,84,1bAftSH8umNcGZ0uyV7LMg,0,22,54,39,93,129,72,201,7,0.320647,0.373841,26868.330746,2,0.005842
Pablo Chill-E,Pablo Chill-E,,821976,67,2XcZshqzPKm3iZcmt73R8D,0,22,34,17,51,70,30,100,7,0.278397,0.316282,7274.087357,2,0.003766
Kendo Kaponi,Kendo Kaponi,,929849,63,1WMwuNKzEFtU6pPkdtryYS,0,22,25,16,41,43,28,71,7,0.2826,0.326049,203.141166,0,0.002599
Ñejo,Ñejo,,3200016,67,2OHKEe204spO7G7NcbeO2o,0,22,50,41,91,68,194,262,7,0.313926,0.371807,5169.51805,0,0.005222
Pj Sin Suela,Pj Sin Suela,,56487,55,0AdjzZxHJ4MfbImx2rD0Df,0,22,9,9,18,8,11,19,7,0.280133,0.311421,1271.082266,0,0.001292
DJ Nelson,DJ Nelson,,984219,72,2ydZrTy8U3kOMOzx20s3dg,0,22,19,33,52,79,93,172,7,0.309316,0.363668,1626.795648,0,0.002376
Luar La L,Luar La L,,174750,64,4axKuDPr6WKcDCyh8vueTY,0,22,28,24,52,30,36,66,7,0.295355,0.343419,1524.816589,0,0.002707
Cosculluela,Cosculluela,,4756422,70,00me4Ke1LsvMxt5kydlMyU,0,22,63,27,90,95,51,146,7,0.308044,0.355903,1723.606896,0,0.00626
Myke Towers,Myke Towers,,9140387,84,7iK8PXO48WeuP03g8YR51W,0,22,94,27,121,222,35,257,7,0.304152,0.352416,3496.518485,0,0.009816
Zion & Lennox,Zion & Lennox,,6535701,78,21451j1KhjAiaYKflxBjr1,0,22,84,31,115,247,66,313,7,0.306503,0.359291,3773.444608,0,0.008376
Ivy Queen,Ivy Queen,,1833686,63,6p2442ymrT9lZEuCZJdYcH,0,22,18,14,32,20,16,36,7,0.285231,0.324636,1327.842731,1,0.001861
De La Ghetto,De La Ghetto,,6066404,81,3EiLUeyEcA6fbRPSHkG5kb,0,22,103,38,141,303,65,368,7,0.311604,0.366363,6945.266233,0,0.010639
Revol,Revol,,717226,58,2wYOpkTJZGByNEOjEnSmoW,0,22,13,15,28,13,19,32,7,0.288157,0.330956,107.854152,0,0.001987
Zion,Zion,,3073963,73,1pgDilWYDWLoOgGjf1iHNu,0,22,51,29,80,130,112,242,7,0.305115,0.356373,1697.578966,0,0.005441
"Héctor ""El Father""","Héctor ""El Father""",,500340,63,2TjgzYcbTdsZjbT9OItIeB,0,22,16,25,41,23,65,88,7,0.297835,0.341783,558.36271,1,0.001669
Kevin Roldan,Kevin Roldan,,4874621,68,1RBzGO6Nm3uyhUSxP7EDWO,0,22,26,28,54,52,116,168,7,0.318375,0.36855,4936.108226,0,0.001971
Quimico Ultra Mega,Quimico Ultra Mega,,232626,58,3tZdknQnzsVIIdaGCTj4RX,0,22,32,18,50,48,36,84,7,0.274095,0.313131,4138.742977,0,0.003494
Mark B.,Mark B.,,221737,51,0zZJhc1T0zBurhnBwQ2fcu,0,22,11,3,14,11,3,14,7,0.264417,0.291448,422.705134,0,0.001854
KAROL G,KAROL G,,26727903,86,790FomKkXshlbRYZFtlgla,0,22,18,20,38,127,83,210,7,0.309743,0.353356,2071.897526,1,0.001908
Wisin & Yandel,Wisin & Yandel,,5476493,78,1wZtkThiXbVNtj6hee6dz9,0,22,41,37,78,556,65,621,7,0.329262,0.382111,4929.762205,1,0.00418
Maria Becerra,Maria Becerra,,2834624,81,1DxLCyH42yaHKGK3cl5bvG,0,22,22,10,32,50,155,205,7,0.273317,0.305094,3705.977846,3,0.002632
Chris Jedi,Chris Jedi,,1915083,72,0qTZZWLzuD59Un5r1speHm,0,22,6,7,13,14,501,515,7,0.282245,0.319101,250.234836,0,0.000938
Maluma,Maluma,,31679634,83,1r4hJ1h58CWwUQe3MxPuau,0,22,55,43,98,265,59,324,7,0.326234,0.385898,8573.993246,5,0.005696
