,source,target,weight,track_name,artists,preview,source_id,target_id,track_id
0,Bad Bunny,Jhay Cortez,6,Tarot,"Bad Bunny, Jhay Cortez",https://p.scdn.co/mp3-preview/db8db5f15768f239548f3499bdd12bfcc6ce063f?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,0EFisYRi20PTADoJrifHrz,41oY4WCTj5kccfesTVFnvN
1,Bad Bunny,Tony Dize,1,La Corriente,"Bad Bunny, Tony Dize",https://p.scdn.co/mp3-preview/5b652748ee9a5a10433e28fa0f63f365b8bf58c2?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,3LKXWvXFWrkwUzJWxzwVpW,1797zYiX4cKosMH836X9Gt
2,Bad Bunny,Rauw Alejandro,1,Party,"Bad Bunny, Rauw Alejandro",https://p.scdn.co/mp3-preview/4982ab22ba534ab700ddc1f2f9ac143baaad7e24?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,1mcTU81TzQhprhouKaTkpq,4tYFy8ALRjIZvnvSLw5lxN
3,Bad Bunny,Bomba Estéreo,1,Ojitos Lindos,"Bad Bunny, Bomba Estéreo",https://p.scdn.co/mp3-preview/3cd0d6fb21cdca047df503d9df5bd617c08c04d8?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,5n9bMYfz9qss2VOW89EVs2,3k3NWokhRRkEPhCzPmV8TW
4,Bad Bunny,Buscabulla,1,Andrea,"Bad Bunny, Buscabulla",https://p.scdn.co/mp3-preview/09536841505c58600d3b685098600412558836c1?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,0MoaBi6dSquXp6rrlqlF8R,44XjoNvtwevktFKjvVe1vH
5,Bad Bunny,Tainy,4,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Tainy, Bad Bunny, Julieta Venegas",https://p.scdn.co/mp3-preview/997d024aaabd3188e9842acc0c358df5e1460df7?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,0GM7qgcRCORpGnfcN2tCiB,4gzsuuZypVbxs0Af1LSZyB
6,Bad Bunny,ROSALÍA,1,LA NOCHE DE ANOCHE,"Bad Bunny, ROSALÍA",https://p.scdn.co/mp3-preview/d843fb10f6c38bbe76680b47e8679bbe31650c19?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,7ltDVBr6mKbRvohxheJ9h1,2XIc1pqjXV3Cr2BQUGNBck
7,Bad Bunny,Zion & Lennox,1,MÁS DE UNA CITA,"Bad Bunny, Zion & Lennox",https://p.scdn.co/mp3-preview/6000f2613360c584cfeb9bf0a70e8009cb9f7976?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,21451j1KhjAiaYKflxBjr1,4EJHKSnHENfjOxXWryyNtL
8,Bad Bunny,Yandel,3,CANCIÓN CON YANDEL,"Yandel, Bad Bunny",https://p.scdn.co/mp3-preview/502b2bbed9899250999344041c0f06385f0366da?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,0eHQ9o50hj6ZDNBt6Ys1sD,3pm4XtcsRIFFtH2UErk62R
9,Bad Bunny,Don Omar,1,PA' ROMPERLA,"Bad Bunny, Don Omar",https://p.scdn.co/mp3-preview/acbeb16d2a372881639cfe7f6eef580ffba8cb11?cid=774b29d4f13844c495f206cafdad9c86,4q3ewBCX7sLwd24euuV69X,33ScadVnbm2X8kkUqOkC6Z,5XqCz18k96K8tx6DAYM97i
