,spotify_id,name_id,name,followers,popularity,betweeness_centrality,group,unique_collabs,total_collabs,image
0,4q3ewBCX7sLwd24euuV69X,Bad Bunny,Bad Bunny,52915846,100,16172.97705,0,119,245,https://i.scdn.co/image/ab6761610000e5eb8ee9a6f54dcbd4bc95126b14
1,0EFisYRi20PTADoJrifHrz,Jhay Cortez,Jhay Cortez,4404989,84,2403.215884,0,82,188,https://i.scdn.co/image/ab6761610000e5ebbbeb7f1f3a9b011b73156dc0
2,3LKXWvXFWrkwUzJWxzwVpW,Tony Dize,Tony Dize,2991179,75,1241.701113,3,25,68,https://i.scdn.co/image/0fb75163d5836f4479ddc91775694ba79979db4e
3,1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,Rauw Alejandro,12993677,89,13977.908156,0,148,286,https://i.scdn.co/image/ab6761610000e5eb75a6949c1571055dd609f890
4,5n9bMYfz9qss2VOW89EVs2,Bomba Estéreo,Bomba Estéreo,973375,79,2390.747683,6,6,7,https://i.scdn.co/image/ab6761610000e5ebcc4d7c642f167846d8aa743b
5,0MoaBi6dSquXp6rrlqlF8R,Buscabulla,Buscabulla,72671,70,0.0,0,2,2,https://i.scdn.co/image/ab6761610000e5eb0f45c57ebf4a141da295d680
6,0GM7qgcRCORpGnfcN2tCiB,Tainy,Tainy,976826,79,3386.983844,0,48,93,https://i.scdn.co/image/ab6761610000e5eb72453ad016b059b06fd52569
7,7ltDVBr6mKbRvohxheJ9h1,ROSALÍA,ROSALÍA,5637610,82,16.024338,0,9,11,https://i.scdn.co/image/ab6761610000e5ebd7bb678bef6d2f26110cae49
8,21451j1KhjAiaYKflxBjr1,Zion & Lennox,Zion & Lennox,6569769,78,9626.301604,3,137,227,https://i.scdn.co/image/ab6761610000e5ebe6cd34548bf23eb55ca44615
9,0eHQ9o50hj6ZDNBt6Ys1sD,Yandel,Yandel,6079631,74,11754.479078,0,126,230,https://i.scdn.co/image/ab6761610000e5ebdd4a7546a655a097dc1b9d04
10,33ScadVnbm2X8kkUqOkC6Z,Don Omar,Don Omar,7656495,79,8170.418759,3,63,145,https://i.scdn.co/image/ab6761610000e5eb86d04a127819956aef61e351
11,1SupJlEpv7RS2tPNRaHViT,Nicky Jam,Nicky Jam,17413553,81,15706.712335,0,145,301,https://i.scdn.co/image/ab6761610000e5eb143d99f40e7bb2cc471568c8
12,4VMYDCV2IEDYJArk749S6m,Daddy Yankee,Daddy Yankee,28854310,87,8081.297178,3,99,251,https://i.scdn.co/image/ab6761610000e5eb2204cb5a314573e202f20f8d
13,0Y30TbA4p8SAfCzy2AFBa8,Yaviah,Yaviah,129467,59,0.0,3,6,7,https://i.scdn.co/image/ab6761610000e5ebd6e7b9afa42ae264c84f22d4
14,12vb80Km0Ew53ABfJOepVz,Ñengo Flow,Ñengo Flow,3554643,79,3917.988384,0,107,219,https://i.scdn.co/image/ab6761610000e5eb88b99535ed74688cf963d8c8
15,77ziqFxp5gaInVrF2lj4ht,Sech,Sech,11017170,82,1767.251457,0,79,232,https://i.scdn.co/image/ab6761610000e5eb2f364933daca7516c6193ffe
16,0Q8NcsJwoCbZOHHW63su5S,Mora,Mora,610013,81,6695.606857,0,47,63,https://i.scdn.co/image/ab6761610000e5eb123f579fb45368b2aaa78192
17,4IMAo2UQchVFyPH24PAjUs,Jowell & Randy,Jowell & Randy,3605212,69,7836.589699,3,105,168,https://i.scdn.co/image/ab6761610000e5eb1919bd779536bbcb3a186150
18,2R21vXR83lH98kGeO99Y66,Anuel AA,Anuel AA,23045207,85,4275.591263,0,97,219,https://i.scdn.co/image/ab6761610000e5ebc5c589b667f600c299552ee5
19,7iK8PXO48WeuP03g8YR51W,Myke Towers,Myke Towers,9204528,84,6683.731101,0,122,262,https://i.scdn.co/image/ab6761610000e5eb9b7677e5bdee54a0ae0c8262
20,1WMwuNKzEFtU6pPkdtryYS,Kendo Kaponi,Kendo Kaponi,849085,63,179.523872,0,30,55,https://i.scdn.co/image/ab6761610000e5eba6db079799d908caddf93b30
21,4SsVbpTthjScTS7U2hmr1X,Arcangel,Arcangel,8585676,80,10875.024369,0,169,494,https://i.scdn.co/image/ab6761610000e5eb094836334a3e352ba839fefc
22,1bAftSH8umNcGZ0uyV7LMg,Duki,Duki,6514094,84,29520.020794,10,88,149,https://i.scdn.co/image/ab6761610000e5eb9b2ccf4bc212d36ae64ee41a
23,2XcZshqzPKm3iZcmt73R8D,Pablo Chill-E,Pablo Chill-E,826922,67,4475.910777,10,35,87,https://i.scdn.co/image/ab6761610000e5ebb401229a5cefc692a9d2741d
24,1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,J Balvin,34781550,88,3799.106151,0,78,216,https://i.scdn.co/image/ab6761610000e5eb5d0fc400392250a750a9403e
25,5QzDzXfXC5lepOBeQXBiVO,Marciano Cantero,Marciano Cantero,3403,61,784.0,0,4,4,https://i.scdn.co/image/ab67616d0000b273b920b51b8284179fb4cb4f9e
26,2oQX8QiMXOyuqbcZEFsZfm,El Alfa,El Alfa,2334408,77,5305.1267,0,73,160,https://i.scdn.co/image/ab6761610000e5eba97f2c907b36d3c1d8e58397
27,2QWIScpFDNxmS6ZEMIUvgm,Julieta Venegas,Julieta Venegas,1719535,75,9865.502487,6,27,38,https://i.scdn.co/image/ab6761610000e5ebbc5aa2e1c5632844b4dd518d
28,1qto4hHid1P71emI6Fd8xi,Aventura,Aventura,6218679,76,55.783843,3,9,16,https://i.scdn.co/image/ab6761610000e5eb4cd0464ef7d8eb8521f72dd8
29,5hdhHgpxyniooUiQVaPxQ0,Nio Garcia,Nio Garcia,3469420,74,2999.288781,0,90,170,https://i.scdn.co/image/ab6761610000e5ebf6c0e106b139be41baae72fd
30,4axKuDPr6WKcDCyh8vueTY,Luar La L,Luar La L,179410,64,1511.61863,0,53,80,https://i.scdn.co/image/ab6761610000e5eb7d6d3f7322438ce894c0ca7e
31,6p2442ymrT9lZEuCZJdYcH,Ivy Queen,Ivy Queen,1845952,63,2201.822634,3,24,54,https://i.scdn.co/image/ab6761610000e5eba930c6844963452e8f1402aa
32,7slfeZO9LsJbWgpkIoXBUJ,Ricky Martin,Ricky Martin,6717795,73,2592.799227,6,22,32,https://i.scdn.co/image/ab6761610000e5eba50f664a6b720e94196ba102
33,65jIUih0ZeTUJhSTRuYxpi,Omy de Oro,Omy de Oro,198463,60,212.116794,0,44,63,https://i.scdn.co/image/ab6761610000e5ebbfa1bf676b75a8473e157f3b
34,5XJDexmWFLWOkjOEjOVX3e,Eladio Carrion,Eladio Carrion,1742961,78,7111.652441,0,99,167,https://i.scdn.co/image/ab6761610000e5eb195cf1ae5db3ba7c22eb3412
35,47MpMsUfWtgyIIBEFOr4FE,Lunay,Lunay,7039421,73,2562.268462,0,68,117,https://i.scdn.co/image/ab6761610000e5eb1db8a4795dc8b97abc1f6f11
36,4wLXwxDeWQ8mtUIRPxGiD6,Marc Anthony,Marc Anthony,7647532,76,2230.185506,6,21,36,https://i.scdn.co/image/ab6761610000e5ebea64d3b81527134c0d65f341
37,03Enzet8KLMkjdeQnbqbmn,Pacho El Antifeka,Pacho El Antifeka,168550,52,5305.791606,0,55,80,https://i.scdn.co/image/ab6761610000e5eb9f50682136dd6c4c928c17d0
38,2TjgzYcbTdsZjbT9OItIeB,"Héctor ""El Father""","Héctor ""El Father""",502798,63,226.218965,3,29,67,https://i.scdn.co/image/fb6f6b52082b66ee883bccf31fec0640e901ef25
