source,target,edge_track_name,spotify_track_name,spotify_artists,track_name_conincides,artists_coincides,id,preview
Bad Bunny,Bomba Estéreo,Ojitos Lindos,Ojitos Lindos,"Bad Bunny, Bomba Estéreo",TRUE,TRUE,3k3NWokhRRkEPhCzPmV8TW,https://p.scdn.co/mp3-preview/3cd0d6fb21cdca047df503d9df5bd617c08c04d8?cid=774b29d4f13844c495f206cafdad9c86
Bad Bunny,Rauw Alejandro,Party,Party,"Bad Bunny, Rauw Alejandro",TRUE,TRUE,4tYFy8ALRjIZvnvSLw5lxN,https://p.scdn.co/mp3-preview/4982ab22ba534ab700ddc1f2f9ac143baaad7e24?cid=774b29d4f13844c495f206cafdad9c86
Bad Bunny,Jhay Cortez,Tarot,Tarot,"Bad Bunny, Jhay Cortez",TRUE,TRUE,41oY4WCTj5kccfesTVFnvN,https://p.scdn.co/mp3-preview/db8db5f15768f239548f3499bdd12bfcc6ce063f?cid=774b29d4f13844c495f206cafdad9c86
Bad Bunny,Tony Dize,La Corriente,La Corriente,"Bad Bunny, Tony Dize",TRUE,TRUE,1797zYiX4cKosMH836X9Gt,https://p.scdn.co/mp3-preview/5b652748ee9a5a10433e28fa0f63f365b8bf58c2?cid=774b29d4f13844c495f206cafdad9c86
Bad Bunny,Tainy,Callaita,Callaita,"Bad Bunny, Tainy",TRUE,TRUE,71wFwRo8xGc4lrcyKwsvba,https://p.scdn.co/mp3-preview/dd0a3623872d32ea48af810f08963cd37f7c01a0?cid=774b29d4f13844c495f206cafdad9c86
Bad Bunny,Daddy Yankee,La Santa,La Santa,"Bad Bunny, Daddy Yankee",TRUE,TRUE,69vlMrzHwATKzupwNcUPyK,https://p.scdn.co/mp3-preview/121e870213633f13fe89595c590e47be052f5e2a?cid=774b29d4f13844c495f206cafdad9c86
Bad Bunny,Jowell & Randy,Safaera,Safaera,"Bad Bunny, Jowell & Randy, Ñengo Flow",TRUE,TRUE,2DEZmgHKAvm41k4J3R2E9Y,https://p.scdn.co/mp3-preview/161fd43b212f9ed0077665c7cb73d2a5469c1527?cid=774b29d4f13844c495f206cafdad9c86
Bad Bunny,Ñengo Flow,Diles,Diles,"Bad Bunny, Ozuna, Farruko, Arcangel, Ñengo Flow, DJ Luian, Mambo Kingz",TRUE,TRUE,6C1RD7YQVvt3YQj0CmuTeu,https://p.scdn.co/mp3-preview/0a4fa12dea105b71d7e0a9facddc6b8cfe138af5?cid=774b29d4f13844c495f206cafdad9c86
Bad Bunny,ROSALÍA,LA NOCHE DE ANOCHE,LA NOCHE DE ANOCHE,"Bad Bunny, ROSALÍA",TRUE,TRUE,2XIc1pqjXV3Cr2BQUGNBck,https://p.scdn.co/mp3-preview/d843fb10f6c38bbe76680b47e8679bbe31650c19?cid=774b29d4f13844c495f206cafdad9c86
Bad Bunny,Mora,Una Vez,Una Vez,"Bad Bunny, Mora",TRUE,TRUE,5J7teKIJGtqVypgYI6sqXj,https://p.scdn.co/mp3-preview/950a45e1ec69518f546b40925e08d35fc0b1923d?cid=774b29d4f13844c495f206cafdad9c86
